source,target,value,values,generation
poison,bipedal_tailed,10,0.2857142857142857,1
water,bipedal_tailed,9,0.28125,1
poison,bipedal_tailless,7,0.2,1
poison,two_wings,6,0.17142857142857143,1
normal,quadruped,6,0.2727272727272727,1
water,quadruped,5,0.15625,1
water,bipedal_tailless,5,0.15625,1
normal,head_legs,5,0.22727272727272727,1
flying,bipedal_tailed,5,0.2631578947368421,1
fire,bipedal_tailless,4,0.3076923076923077,1
psychic,bipedal_tailed,4,0.2857142857142857,1
fire,bipedal_tailed,4,0.3076923076923077,1
normal,bipedal_tailed,4,0.18181818181818182,1
bug,quadruped,4,0.3333333333333333,1
water,two_wings,4,0.125,1
ground,bipedal_tailed,3,0.1875,1
psychic,bipedal_tailless,3,0.21428571428571427,1
water,four_wings,3,0.09375,1
poison,quadruped,3,0.08571428571428572,1
poison,insectoid,3,0.08571428571428572,1
rock,bipedal_tailed,3,0.2727272727272727,1
grass,bipedal_tailed,3,0.21428571428571427,1
ground,quadruped,3,0.1875,1
grass,quadruped,3,0.21428571428571427,1
ground,bipedal_tailless,3,0.1875,1
normal,two_wings,3,0.13636363636363635,1
bug,serpentine_body,2,0.16666666666666666,1
water,with_fins,2,0.0625,1
flying,head_legs,2,0.10526315789473684,1
flying,insectoid,2,0.10526315789473684,1
flying,four_wings,2,0.10526315789473684,1
bug,bipedal_tailed,2,0.16666666666666666,1
rock,insectoid,2,0.18181818181818182,1
ground,head_only,2,0.125,1
rock,bipedal_tailless,2,0.18181818181818182,1
grass,head_legs,2,0.14285714285714285,1
grass,head_only,2,0.14285714285714285,1
rock,two_wings,2,0.18181818181818182,1
flying,two_wings,2,0.10526315789473684,1
poison,head_arms,2,0.05714285714285714,1
psychic,quadruped,2,0.14285714285714285,1
psychic,head_only,2,0.14285714285714285,1
ground,multiple_bodies,1,0.0625,1
ground,with_fins,1,0.0625,1
ground,two_wings,1,0.0625,1
ground,serpentine_body,1,0.0625,1
fire,quadruped,1,0.07692307692307693,1
grass,several_limbs,1,0.07142857142857142,1
grass,two_wings,1,0.07142857142857142,1
ground,insectoid,1,0.0625,1
fire,serpentine_body,1,0.07692307692307693,1
fire,several_limbs,1,0.07692307692307693,1
bug,bipedal_tailless,1,0.08333333333333333,1
grass,with_fins,1,0.07142857142857142,1
fire,four_wings,1,0.07692307692307693,1
fire,head_base,1,0.07692307692307693,1
flying,head_base,1,0.05263157894736842,1
normal,bipedal_tailless,1,0.045454545454545456,1
normal,four_wings,1,0.045454545454545456,1
normal,insectoid,1,0.045454545454545456,1
normal,serpentine_body,1,0.045454545454545456,1
flying,serpentine_body,1,0.05263157894736842,1
poison,head_only,1,0.02857142857142857,1
grass,head_arms,1,0.07142857142857142,1
rock,serpentine_body,1,0.09090909090909091,1
flying,bipedal_tailless,1,0.05263157894736842,1
poison,several_limbs,1,0.02857142857142857,1
poison,with_fins,1,0.02857142857142857,1
psychic,four_wings,1,0.07142857142857142,1
psychic,serpentine_body,1,0.07142857142857142,1
psychic,with_fins,1,0.07142857142857142,1
rock,several_limbs,1,0.09090909090909091,1
poison,serpentine_body,1,0.02857142857142857,1
flying,with_fins,1,0.05263157894736842,1
bug,two_wings,1,0.08333333333333333,1
