pokedex_number;name;type1;type2;hp;defense;attack;sp_defense;sp_attack;speed;base_total;capture_rate;base_happiness;experience_growth;Height_m;Weight_kg;hasGender;percentage_male;is_legendary;generation;classfication;Color;Body_Style;hasMegaEvolution;Egg_Group_1;Egg_Group_2;base_egg_steps;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;abilities;ability 1;ability 2;ability 3;ability 4;ability 5;ability 6
1;Bulbasaur;grass;poison;45;49;49;65;65;45;318;45;70;1059860;0.71;6.9;TRUE;88.1;0;1;Seed;Green;quadruped;FALSE;Monster;Grass;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Overgrow', 'Chlorophyll'];Overgrow;Chlorophyll;;;;
2;Ivysaur;grass;poison;60;63;62;80;80;60;405;45;70;1059860;0.99;13;TRUE;88.1;0;1;Seed;Green;quadruped;FALSE;Monster;Grass;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Overgrow', 'Chlorophyll'];Overgrow;Chlorophyll;;;;
3;Venusaur;grass;poison;80;123;100;120;122;80;625;45;70;1059860;2.01;100;TRUE;88.1;0;1;Seed;Green;quadruped;TRUE;Monster;Grass;5120;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;['Overgrow', 'Chlorophyll'];Overgrow;Chlorophyll;;;;
4;Charmander;fire;;39;43;52;50;60;65;309;45;70;1059860;0.61;8.5;TRUE;88.1;0;1;Lizard;Red;bipedal_tailed;FALSE;Monster;Dragon;5120;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Blaze', 'Solar Power'];Blaze;Solar Power;;;;
5;Charmeleon;fire;;58;58;64;65;80;80;405;45;70;1059860;1.09;19;TRUE;88.1;0;1;Flame;Red;bipedal_tailed;FALSE;Monster;Dragon;5120;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Blaze', 'Solar Power'];Blaze;Solar Power;;;;
6;Charizard;fire;flying;78;78;104;115;159;100;634;45;70;1059860;1.7;90.5;TRUE;88.1;0;1;Flame;Red;bipedal_tailed;TRUE;Monster;Dragon;5120;0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2;['Blaze', 'Solar Power'];Blaze;Solar Power;;;;
7;Squirtle;water;;44;65;48;64;50;43;314;45;70;1059860;0.51;9;TRUE;88.1;0;1;Tiny Turtle;Blue;bipedal_tailed;FALSE;Monster;Water_1;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Torrent', 'Rain Dish'];Torrent;Rain Dish;;;;
8;Wartortle;water;;59;80;63;80;65;58;405;45;70;1059860;0.99;22.5;TRUE;88.1;0;1;Turtle;Blue;bipedal_tailed;FALSE;Monster;Water_1;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Torrent', 'Rain Dish'];Torrent;Rain Dish;;;;
9;Blastoise;water;;79;120;103;115;135;78;630;45;70;1059860;1.6;85.5;TRUE;88.1;0;1;Shellfish;Blue;bipedal_tailed;TRUE;Monster;Water_1;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Torrent', 'Rain Dish'];Torrent;Rain Dish;;;;
10;Caterpie;bug;;45;35;30;20;20;45;195;255;70;1000000;0.3;2.9;TRUE;50;0;1;Worm;Green;insectoid;FALSE;Bug;;3840;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;['Shield Dust', 'Run Away'];Shield Dust;Run Away;;;;
11;Metapod;bug;;50;55;20;25;25;30;205;120;70;1000000;0.71;9.9;TRUE;50;0;1;Cocoon;Green;serpentine_body;FALSE;Bug;;3840;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;['Shed Skin'];Shed Skin;;;;;
12;Butterfree;bug;flying;60;50;45;80;90;70;395;45;70;1000000;1.09;32;TRUE;50;0;1;Butterfly;White;four_wings;FALSE;Bug;;3840;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;['Compoundeyes', 'Tinted Lens'];Compoundeyes;Tinted Lens;;;;
13;Weedle;bug;poison;40;30;35;20;20;50;195;255;70;1000000;0.3;3.2;TRUE;50;0;1;Hairy;Brown;serpentine_body;FALSE;Bug;;3840;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;['Shield Dust', 'Run Away'];Shield Dust;Run Away;;;;
14;Kakuna;bug;poison;45;50;25;25;25;35;205;120;70;1000000;0.61;10;TRUE;50;0;1;Cocoon;Yellow;serpentine_body;FALSE;Bug;;3840;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;['Shed Skin'];Shed Skin;;;;;
